Year,Month,NOAA CH4 (ppb),NOAA CH4 uncertainty
1983,7,1625.95,4.116
1983,8,1628.06,5.272
1983,9,1638.44,4.567
1983,10,1644.80,3.116
1983,11,1642.60,1.529
1983,12,1639.51,1.980
1984,1,1638.65,3.489
1984,2,1638.78,4.018
1984,3,1640.73,3.548
1984,4,1643.72,3.783
1984,5,1642.90,2.136
1984,6,1639.61,1.764
1984,7,1637.77,2.156
1984,8,1641.36,2.960
1984,9,1650.41,2.372
1984,10,1654.49,3.018
1984,11,1653.68,2.117
1984,12,1656.13,2.411
1985,1,1655.57,2.470
1985,2,1652.23,2.724
1985,3,1654.62,1.940
1985,4,1658.18,1.764
1985,5,1655.86,2.489
1985,6,1650.05,2.646
1985,7,1646.77,2.666
1985,8,1652.20,2.783
1985,9,1662.51,2.626
1985,10,1667.52,2.411
1985,11,1666.81,2.587
1985,12,1666.06,2.352
1986,1,1666.23,2.450
1986,2,1666.85,3.450
1986,3,1669.27,2.568
1986,4,1670.80,2.862
1986,5,1668.44,1.784
1986,6,1664.78,2.548
1986,7,1662.31,2.666
1986,8,1664.36,3.704
1986,9,1672.59,3.312
1986,10,1678.67,3.018
1986,11,1679.00,3.312
1986,12,1679.12,2.313
1987,1,1679.30,2.215
1987,2,1678.99,2.097
1987,3,1680.13,1.705
1987,4,1681.42,1.842
1987,5,1681.85,1.882
1987,6,1680.03,1.901
1987,7,1675.98,1.686
1987,8,1677.15,1.627
1987,9,1685.61,1.784
1987,10,1691.57,1.627
1987,11,1691.18,1.431
1987,12,1690.51,1.725
1988,1,1691.95,1.627
1988,2,1692.48,1.588
1988,3,1691.29,1.940
1988,4,1689.98,1.960
1988,5,1689.02,2.019
1988,6,1687.14,2.156
1988,7,1685.90,1.470
1988,8,1689.36,1.960
1988,9,1696.28,2.372
1988,10,1701.31,2.450
1988,11,1702.91,2.352
1988,12,1702.00,1.999
1989,1,1700.55,1.882
1989,2,1701.08,2.097
1989,3,1702.55,2.470
1989,4,1703.66,1.999
1989,5,1703.41,0.960
1989,6,1700.25,1.627
1989,7,1698.22,1.705
1989,8,1701.97,1.901
1989,9,1707.18,1.999
1989,10,1710.51,2.136
1989,11,1713.09,1.686
1989,12,1713.17,1.705
1990,1,1711.97,2.215
1990,2,1713.34,2.528
1990,3,1714.37,1.842
1990,4,1712.63,1.882
1990,5,1710.67,1.960
1990,6,1708.33,1.568
1990,7,1706.36,1.411
1990,8,1710.10,2.587
1990,9,1717.56,2.822
1990,10,1722.03,2.058
1990,11,1723.51,1.823
1990,12,1723.37,1.980
1991,1,1721.58,2.274
1991,2,1721.16,2.274
1991,3,1722.11,1.901
1991,4,1722.60,2.097
1991,5,1722.37,2.176
1991,6,1719.18,2.293
1991,7,1716.18,1.980
1991,8,1719.32,2.215
1991,9,1726.28,2.960
1991,10,1732.79,1.901
1991,11,1737.49,1.803
1991,12,1739.66,1.980
1992,1,1738.86,1.901
1992,2,1737.34,1.960
1992,3,1736.97,1.803
1992,4,1736.63,1.117
1992,5,1734.91,1.529
1992,6,1731.59,2.117
1992,7,1728.88,2.332
1992,8,1730.41,2.097
1992,9,1734.69,1.509
1992,10,1737.75,1.470
1992,11,1739.31,2.058
1992,12,1738.57,1.823
1993,1,1735.75,1.646
1993,2,1734.39,1.705
1993,3,1735.52,1.764
1993,4,1736.67,1.352
1993,5,1734.95,1.509
1993,6,1730.84,1.764
1993,7,1728.03,1.882
1993,8,1731.19,1.960
1993,9,1738.48,1.921
1993,10,1743.34,1.862
1993,11,1745.17,1.568
1993,12,1744.28,1.764
1994,1,1741.40,1.842
1994,2,1740.86,1.960
1994,3,1741.94,1.744
1994,4,1741.91,1.470
1994,5,1740.62,2.117
1994,6,1736.92,2.450
1994,7,1732.41,2.313
1994,8,1734.08,2.293
1994,9,1742.96,1.784
1994,10,1749.83,1.352
1994,11,1751.24,1.470
1994,12,1751.57,1.588
1995,1,1751.03,1.784
1995,2,1749.40,1.803
1995,3,1748.96,1.274
1995,4,1749.45,1.450
1995,5,1747.69,2.038
1995,6,1742.83,1.921
1995,7,1740.08,1.901
1995,8,1743.49,2.430
1995,9,1749.73,2.352
1995,10,1754.24,1.392
1995,11,1755.32,1.666
1995,12,1753.75,1.823
1996,1,1752.32,1.882
1996,2,1752.91,1.999
1996,3,1752.40,1.764
1996,4,1749.87,1.764
1996,5,1748.61,1.940
1996,6,1746.20,1.901
1996,7,1742.22,1.823
1996,8,1744.68,2.470
1996,9,1753.02,2.685
1996,10,1758.96,1.901
1996,11,1759.91,1.764
1996,12,1756.81,1.529
1997,1,1753.30,1.725
1997,2,1753.77,1.901
1997,3,1755.61,1.490
1997,4,1755.54,1.725
1997,5,1753.90,1.294
1997,6,1750.20,1.686
1997,7,1746.20,1.882
1997,8,1747.98,1.686
1997,9,1755.11,1.705
1997,10,1760.25,1.450
1997,11,1761.68,1.666
1997,12,1761.92,1.411
1998,1,1761.49,1.627
1998,2,1761.55,2.626
1998,3,1763.04,3.018
1998,4,1764.69,2.078
1998,5,1764.19,1.627
1998,6,1760.32,1.274
1998,7,1756.14,1.842
1998,8,1760.08,1.744
1998,9,1770.50,2.470
1998,10,1776.19,2.372
1998,11,1775.58,1.627
1998,12,1774.18,1.588
1999,1,1773.97,1.901
1999,2,1774.15,2.646
1999,3,1774.76,2.215
1999,4,1774.94,1.450
1999,5,1772.65,1.725
1999,6,1767.41,1.666
1999,7,1763.00,1.568
1999,8,1764.71,1.627
1999,9,1771.11,1.686
1999,10,1776.63,1.646
1999,11,1778.57,1.333
1999,12,1777.30,1.431
2000,1,1775.70,1.960
2000,2,1775.82,2.411
2000,3,1776.84,2.607
2000,4,1777.37,2.509
2000,5,1774.61,2.156
2000,6,1768.21,1.901
2000,7,1763.61,1.509
2000,8,1765.66,2.117
2000,9,1772.20,2.215
2000,10,1777.14,1.568
2000,11,1777.75,1.725
2000,12,1775.33,1.980
2001,1,1772.86,1.686
2001,2,1772.53,1.882
2001,3,1773.70,1.999
2001,4,1773.88,1.274
2001,5,1770.75,1.490
2001,6,1765.89,1.999
2001,7,1762.80,2.058
2001,8,1764.36,1.960
2001,9,1770.45,1.823
2001,10,1775.52,1.372
2001,11,1776.58,1.352
2001,12,1775.95,1.862
2002,1,1774.09,2.117
2002,2,1772.81,1.960
2002,3,1773.40,1.294
2002,4,1772.70,1.490
2002,5,1770.25,1.627
2002,6,1766.90,1.842
2002,7,1764.32,1.784
2002,8,1767.05,1.764
2002,9,1773.76,1.921
2002,10,1778.23,2.587
2002,11,1779.56,2.313
2002,12,1779.72,1.470
2003,1,1777.53,1.882
2003,2,1774.85,2.038
2003,3,1774.86,1.568
2003,4,1775.71,2.470
2003,5,1774.38,1.999
2003,6,1771.71,2.666
2003,7,1770.74,3.567
2003,8,1774.31,3.116
2003,9,1780.56,1.940
2003,10,1784.66,1.588
2003,11,1785.24,1.823
2003,12,1783.54,1.999
2004,1,1780.83,1.940
2004,2,1779.94,1.666
2004,3,1780.98,1.627
2004,4,1780.71,1.450
2004,5,1777.57,1.921
2004,6,1772.31,2.352
2004,7,1767.99,1.529
2004,8,1769.72,1.705
2004,9,1775.47,2.058
2004,10,1779.67,1.705
2004,11,1780.49,1.803
2004,12,1778.28,1.842
2005,1,1776.01,2.097
2005,2,1775.61,1.940
2005,3,1775.49,1.842
2005,4,1774.60,1.666
2005,5,1772.30,1.313
2005,6,1768.71,1.901
2005,7,1766.31,1.705
2005,8,1768.04,2.078
2005,9,1773.24,2.332
2005,10,1778.59,2.195
2005,11,1781.12,1.588
2005,12,1780.12,2.489
2006,1,1779.48,1.823
2006,2,1779.51,1.568
2006,3,1777.45,1.392
2006,4,1776.12,1.098
2006,5,1774.98,1.744
2006,6,1769.35,2.411
2006,7,1764.18,2.195
2006,8,1767.22,2.234
2006,9,1774.61,2.607
2006,10,1778.23,1.686
2006,11,1779.05,1.313
2006,12,1779.96,1.607
2007,1,1779.21,2.019
2007,2,1778.65,1.921
2007,3,1780.35,1.686
2007,4,1781.11,2.078
2007,5,1779.43,2.587
2007,6,1775.62,1.999
2007,7,1772.58,2.038
2007,8,1777.21,3.018
2007,9,1785.93,3.116
2007,10,1789.84,2.136
2007,11,1789.51,1.882
2007,12,1788.24,2.097
2008,1,1786.72,2.097
2008,2,1785.78,2.078
2008,3,1786.11,2.411
2008,4,1786.81,2.117
2008,5,1785.10,1.803
2008,6,1780.39,1.725
2008,7,1777.57,1.744
2008,8,1781.02,1.901
2008,9,1787.71,1.921
2008,10,1793.73,1.313
2008,11,1797.42,2.352
2008,12,1796.72,2.313
2009,1,1795.11,1.627
2009,2,1795.64,1.999
2009,3,1796.08,1.921
2009,4,1795.60,1.470
2009,5,1792.33,1.294
2009,6,1786.90,1.646
2009,7,1784.94,2.058
2009,8,1788.82,1.940
2009,9,1794.81,2.528
2009,10,1798.00,2.764
2009,11,1797.91,1.607
2009,12,1796.73,1.823
2010,1,1797.09,2.470
2010,2,1798.74,2.626
2010,3,1799.46,2.352
2010,4,1799.60,1.803
2010,5,1797.70,2.313
2010,6,1792.54,2.528
2010,7,1789.41,1.862
2010,8,1794.03,1.823
2010,9,1801.79,1.960
2010,10,1806.48,2.058
2010,11,1807.01,1.999
2010,12,1803.61,1.901
2011,1,1800.45,2.019
2011,2,1800.21,1.548
2011,3,1801.01,1.137
2011,4,1802.85,1.294
2011,5,1803.30,1.627
2011,6,1799.18,1.352
2011,7,1796.14,1.666
2011,8,1798.96,2.038
2011,9,1804.00,3.528
2011,10,1809.49,3.214
2011,11,1812.32,2.176
2011,12,1810.01,1.842
2012,1,1807.26,1.862
2012,2,1808.22,2.313
2012,3,1809.95,1.607
2012,4,1808.42,1.058
2012,5,1804.73,2.274
2012,6,1800.96,2.313
2012,7,1799.27,2.195
2012,8,1803.20,1.999
2012,9,1810.07,2.215
2012,10,1814.73,2.078
2012,11,1815.87,2.254
2012,12,1814.58,1.646
2013,1,1814.12,1.784
2013,2,1814.22,2.489
2013,3,1813.30,1.960
2013,4,1812.81,1.450
2013,5,1811.87,1.686
2013,6,1808.44,2.764
2013,7,1805.69,3.332
2013,8,1808.38,2.411
2013,9,1814.29,1.921
2013,10,1818.55,1.392
2013,11,1820.37,1.333
2013,12,1819.39,1.744
2014,1,1816.89,2.019
2014,2,1816.40,2.352
2014,3,1818.12,2.372
2014,4,1820.89,1.548
2014,5,1821.94,1.627
2014,6,1818.40,1.588
2014,7,1815.61,1.999
2014,8,1819.83,2.234
2014,9,1826.96,2.254
2014,10,1831.25,1.294
2014,11,1833.09,1.274
2014,12,1833.54,2.058
2015,1,1832.89,2.372
2015,2,1832.72,1.921
2015,3,1833.08,1.490
2015,4,1833.20,1.823
2015,5,1831.78,1.803
2015,6,1827.35,1.666
2015,7,1824.81,2.078
2015,8,1829.17,2.058
2015,9,1836.22,2.019
2015,10,1841.49,1.646
2015,11,1844.75,1.940
2015,12,1844.90,2.078
2016,1,1842.40,1.666
2016,2,1841.61,1.940
2016,3,1842.97,1.490
2016,4,1843.71,1.098
2016,5,1842.11,1.529
2016,6,1837.89,2.195
2016,7,1834.22,2.078
2016,8,1836.76,2.215
2016,9,1844.32,2.646
2016,10,1849.95,2.254
2016,11,1851.47,2.215
2016,12,1851.13,1.823
2017,1,1849.81,1.725
2017,2,1848.55,2.136
2017,3,1848.34,2.274
2017,4,1848.60,2.117
2017,5,1847.17,1.646
2017,6,1842.98,1.882
2017,7,1840.39,2.587
2017,8,1844.65,2.313
2017,9,1852.79,1.940
2017,10,1858.08,1.882
2017,11,1858.69,1.607
2017,12,1856.67,1.842
2018,1,1854.46,1.999
2018,2,1854.96,1.862
2018,3,1856.87,1.862
2018,4,1856.66,2.136
2018,5,1854.77,3.234
2018,6,1851.98,3.273
2018,7,1849.04,3.097
2018,8,1851.88,3.312
2018,9,1860.45,1.901
2018,10,1865.73,1.862
2018,11,1866.24,2.038
2018,12,1866.01,1.960
2019,1,1864.98,2.156
2019,2,1864.97,1.529
2019,3,1866.27,1.666
2019,4,1865.29,1.235
2019,5,1861.90,2.313
2019,6,1858.82,2.724
2019,7,1858.43,2.881
2019,8,1863.01,2.744
2019,9,1870.75,2.234
2019,10,1875.37,1.960
2019,11,1875.56,1.960
2019,12,1874.67,1.372
2020,1,1873.11,1.725
2020,2,1872.78,1.705
2020,3,1874.76,1.450
2020,4,1875.78,2.391
2020,5,1874.27,2.254
2020,6,1871.98,2.254
2020,7,1871.61,2.489
2020,8,1876.59,2.489
2020,9,1884.69,2.117
2020,10,1890.05,1.588
2020,11,1891.89,1.176
2020,12,1891.84,1.823
2021,1,1889.54,2.666
2021,2,1887.57,2.058
2021,3,1888.74,1.823
2021,4,1891.22,1.117
2021,5,1891.60,1.372
2021,6,1888.47,1.529
2021,7,1886.36,1.529
2021,8,1892.60,2.352
2021,9,1902.65,2.411
2021,10,1907.99,1.588
2021,11,1909.52,2.274
2021,12,1908.84,2.372
2022,1,1907.47,2.058
2022,2,1907.76,
2022,3,1909.03,
2022,4,1909.41,
2022,5,1907.75,
2022,6,1905.28,
2022,7,1904.47,
2022,8,1908.78,
2022,9,1915.53,
2022,10,1920.01,
2022,11,1923.78,
2022,12,1924.99,
