Date,WDCGG CO2 (ppm),WDCGG CO2 uncertainty
1984-01-01,345.27,
1984-02-01,345.69,
1984-03-01,345.89,
1984-04-01,345.95,
1984-05-01,345.47,
1984-06-01,344.25,
1984-07-01,342.59,
1984-08-01,341.63,
1984-09-01,342.12,
1984-10-01,343.6,
1984-11-01,345.12,
1984-12-01,346.1,
1985-01-01,346.69,
1985-02-01,347.04,
1985-03-01,347.29,
1985-04-01,347.3,
1985-05-01,346.87,
1985-06-01,345.66,
1985-07-01,344.01,
1985-08-01,343.01,
1985-09-01,343.47,
1985-10-01,345.0,
1985-11-01,346.52,
1985-12-01,347.48,
1986-01-01,348.08,
1986-02-01,348.48,
1986-03-01,348.68,
1986-04-01,348.71,
1986-05-01,348.29,
1986-06-01,347.12,
1986-07-01,345.45,
1986-08-01,344.48,
1986-09-01,344.96,
1986-10-01,346.51,
1986-11-01,347.98,
1986-12-01,348.86,
1987-01-01,349.47,
1987-02-01,349.88,
1987-03-01,350.15,
1987-04-01,350.32,
1987-05-01,350.02,
1987-06-01,348.99,
1987-07-01,347.4,
1987-08-01,346.48,
1987-09-01,346.99,
1987-10-01,348.55,
1987-11-01,350.07,
1987-12-01,351.16,
1988-01-01,351.83,
1988-02-01,352.26,
1988-03-01,352.52,
1988-04-01,352.69,
1988-05-01,352.31,
1988-06-01,351.19,
1988-07-01,349.64,
1988-08-01,348.76,
1988-09-01,349.3,
1988-10-01,350.87,
1988-11-01,352.28,
1988-12-01,353.26,
1989-01-01,353.93,
1989-02-01,354.3,
1989-03-01,354.48,
1989-04-01,354.51,
1989-05-01,354.04,
1989-06-01,352.83,
1989-07-01,351.24,
1989-08-01,350.29,
1989-09-01,350.78,
1989-10-01,352.23,
1989-11-01,353.7,
1989-12-01,354.61,
1990-01-01,355.15,
1990-02-01,355.48,
1990-03-01,355.68,
1990-04-01,355.68,
1990-05-01,355.23,
1990-06-01,354.0,
1990-07-01,352.36,
1990-08-01,351.41,
1990-09-01,351.93,
1990-10-01,353.48,
1990-11-01,354.95,
1990-12-01,355.9,
1991-01-01,356.48,
1991-02-01,356.92,
1991-03-01,357.13,
1991-04-01,357.1,
1991-05-01,356.69,
1991-06-01,355.47,
1991-07-01,353.72,
1991-08-01,352.66,
1991-09-01,353.09,
1991-10-01,354.58,
1991-11-01,356.0,
1991-12-01,356.83,
1992-01-01,357.36,
1992-02-01,357.65,
1992-03-01,357.84,
1992-04-01,357.91,
1992-05-01,357.48,
1992-06-01,356.15,
1992-07-01,354.48,
1992-08-01,353.44,
1992-09-01,353.76,
1992-10-01,355.28,
1992-11-01,356.58,
1992-12-01,357.47,
1993-01-01,358.04,
1993-02-01,358.34,
1993-03-01,358.62,
1993-04-01,358.66,
1993-05-01,358.14,
1993-06-01,356.9,
1993-07-01,355.23,
1993-08-01,354.3,
1993-09-01,354.72,
1993-10-01,356.25,
1993-11-01,357.68,
1993-12-01,358.64,
1994-01-01,359.38,
1994-02-01,359.84,
1994-03-01,360.03,
1994-04-01,360.07,
1994-05-01,359.6,
1994-06-01,358.4,
1994-07-01,356.81,
1994-08-01,355.88,
1994-09-01,356.27,
1994-10-01,357.9,
1994-11-01,359.42,
1994-12-01,360.41,
1995-01-01,361.06,
1995-02-01,361.49,
1995-03-01,361.74,
1995-04-01,361.85,
1995-05-01,361.45,
1995-06-01,360.24,
1995-07-01,358.67,
1995-08-01,357.69,
1995-09-01,358.29,
1995-10-01,359.95,
1995-11-01,361.51,
1995-12-01,362.49,
1996-01-01,363.17,
1996-02-01,363.58,
1996-03-01,363.69,
1996-04-01,363.71,
1996-05-01,363.32,
1996-06-01,362.13,
1996-07-01,360.58,
1996-08-01,359.54,
1996-09-01,359.85,
1996-10-01,361.35,
1996-11-01,362.7,
1996-12-01,363.6,
1997-01-01,364.26,
1997-02-01,364.55,
1997-03-01,364.69,
1997-04-01,364.85,
1997-05-01,364.5,
1997-06-01,363.19,
1997-07-01,361.53,
1997-08-01,360.54,
1997-09-01,361.02,
1997-10-01,362.71,
1997-11-01,364.32,
1997-12-01,365.38,
1998-01-01,366.14,
1998-02-01,366.59,
1998-03-01,366.93,
1998-04-01,367.15,
1998-05-01,366.9,
1998-06-01,365.95,
1998-07-01,364.5,
1998-08-01,363.65,
1998-09-01,364.2,
1998-10-01,365.87,
1998-11-01,367.41,
1998-12-01,368.33,
1999-01-01,368.99,
1999-02-01,369.4,
1999-03-01,369.61,
1999-04-01,369.62,
1999-05-01,369.15,
1999-06-01,367.9,
1999-07-01,366.23,
1999-08-01,365.28,
1999-09-01,365.8,
1999-10-01,367.28,
1999-11-01,368.84,
1999-12-01,369.78,
2000-01-01,370.45,
2000-02-01,370.76,
2000-03-01,370.9,
2000-04-01,370.97,
2000-05-01,370.49,
2000-06-01,369.34,
2000-07-01,367.79,
2000-08-01,366.8,
2000-09-01,367.28,
2000-10-01,368.9,
2000-11-01,370.39,
2000-12-01,371.41,
2001-01-01,372.01,
2001-02-01,372.25,
2001-03-01,372.45,
2001-04-01,372.49,
2001-05-01,372.02,
2001-06-01,370.85,
2001-07-01,369.25,
2001-08-01,368.31,
2001-09-01,368.82,
2001-10-01,370.46,
2001-11-01,371.9,
2001-12-01,372.91,
2002-01-01,373.58,
2002-02-01,373.98,
2002-03-01,374.17,
2002-04-01,374.3,
2002-05-01,373.91,
2002-06-01,372.75,
2002-07-01,371.26,
2002-08-01,370.43,
2002-09-01,370.91,
2002-10-01,372.62,
2002-11-01,374.09,
2002-12-01,375.1,
2003-01-01,375.81,
2003-02-01,376.3,
2003-03-01,376.58,
2003-04-01,376.79,
2003-05-01,376.43,
2003-06-01,375.3,
2003-07-01,373.76,
2003-08-01,372.98,
2003-09-01,373.33,
2003-10-01,374.87,
2003-11-01,376.34,
2003-12-01,377.32,
2004-01-01,377.98,
2004-02-01,378.46,
2004-03-01,378.66,
2004-04-01,378.66,
2004-05-01,378.22,
2004-06-01,377.05,
2004-07-01,375.42,
2004-08-01,374.4,
2004-09-01,374.81,
2004-10-01,376.41,
2004-11-01,377.99,
2004-12-01,379.0,
2005-01-01,379.73,
2005-02-01,380.22,
2005-03-01,380.48,
2005-04-01,380.6,
2005-05-01,380.28,
2005-06-01,379.22,
2005-07-01,377.56,
2005-08-01,376.65,
2005-09-01,377.23,
2005-10-01,378.8,
2005-11-01,380.42,
2005-12-01,381.54,
2006-01-01,382.21,
2006-02-01,382.63,
2006-03-01,382.86,
2006-04-01,382.89,
2006-05-01,382.44,
2006-06-01,381.24,
2006-07-01,379.68,
2006-08-01,378.65,
2006-09-01,379.13,
2006-10-01,380.64,
2006-11-01,382.15,
2006-12-01,383.09,
2007-01-01,383.77,
2007-02-01,384.3,
2007-03-01,384.53,
2007-04-01,384.58,
2007-05-01,384.29,
2007-06-01,383.15,
2007-07-01,381.56,
2007-08-01,380.58,
2007-09-01,381.15,
2007-10-01,382.8,
2007-11-01,384.2,
2007-12-01,385.33,
2008-01-01,386.15,
2008-02-01,386.57,
2008-03-01,386.8,
2008-04-01,386.87,
2008-05-01,386.38,
2008-06-01,385.23,
2008-07-01,383.52,
2008-08-01,382.5,
2008-09-01,382.98,
2008-10-01,384.48,
2008-11-01,386.05,
2008-12-01,387.23,
2009-01-01,387.91,
2009-02-01,388.26,
2009-03-01,388.44,
2009-04-01,388.42,
2009-05-01,387.97,
2009-06-01,386.71,
2009-07-01,385.0,
2009-08-01,383.97,
2009-09-01,384.43,
2009-10-01,386.15,
2009-11-01,387.7,
2009-12-01,388.77,
2010-01-01,389.55,
2010-02-01,390.04,
2010-03-01,390.21,
2010-04-01,390.31,
2010-05-01,389.94,
2010-06-01,388.79,
2010-07-01,387.22,
2010-08-01,386.44,
2010-09-01,387.03,
2010-10-01,388.67,
2010-11-01,390.21,
2010-12-01,391.31,
2011-01-01,391.9,
2011-02-01,392.29,
2011-03-01,392.47,
2011-04-01,392.39,
2011-05-01,391.97,
2011-06-01,390.78,
2011-07-01,389.13,
2011-08-01,388.24,
2011-09-01,388.75,
2011-10-01,390.49,
2011-11-01,392.06,
2011-12-01,392.98,
2012-01-01,393.73,
2012-02-01,394.18,
2012-03-01,394.4,
2012-04-01,394.48,
2012-05-01,394.04,
2012-06-01,392.86,
2012-07-01,391.26,
2012-08-01,390.52,
2012-09-01,391.16,
2012-10-01,392.96,
2012-11-01,394.59,
2012-12-01,395.71,
2013-01-01,396.39,
2013-02-01,396.85,
2013-03-01,397.12,
2013-04-01,397.35,
2013-05-01,396.98,
2013-06-01,395.85,
2013-07-01,394.15,
2013-08-01,393.39,
2013-09-01,393.72,
2013-10-01,395.41,
2013-11-01,396.87,
2013-12-01,397.94,
2014-01-01,398.6,
2014-02-01,399.0,
2014-03-01,399.27,
2014-04-01,399.25,
2014-05-01,398.94,
2014-06-01,397.75,
2014-07-01,396.05,
2014-08-01,395.12,
2014-09-01,395.71,
2014-10-01,397.25,
2014-11-01,398.91,
2014-12-01,399.99,
2015-01-01,400.7,
2015-02-01,401.2,
2015-03-01,401.4,
2015-04-01,401.44,
2015-05-01,401.07,
2015-06-01,399.9,
2015-07-01,398.43,
2015-08-01,397.55,
2015-09-01,398.1,
2015-10-01,399.95,
2015-11-01,401.6,
2015-12-01,402.76,
2016-01-01,403.64,
2016-02-01,404.07,
2016-03-01,404.58,
2016-04-01,404.71,
2016-05-01,404.44,
2016-06-01,403.29,
2016-07-01,401.68,
2016-08-01,400.88,
2016-09-01,401.67,
2016-10-01,403.27,
2016-11-01,404.73,
2016-12-01,405.7,
2017-01-01,406.42,
2017-02-01,406.89,
2017-03-01,407.1,
2017-04-01,407.13,
2017-05-01,406.82,
2017-06-01,405.6,
2017-07-01,403.99,
2017-08-01,402.92,
2017-09-01,403.37,
2017-10-01,405.1,
2017-11-01,406.76,
2017-12-01,407.78,
2018-01-01,408.53,
2018-02-01,409.09,
2018-03-01,409.32,
2018-04-01,409.42,
2018-05-01,408.84,
2018-06-01,407.81,
2018-07-01,406.13,
2018-08-01,405.29,
2018-09-01,405.7,
2018-10-01,407.46,
2018-11-01,409.2,
2018-12-01,410.22,
2019-01-01,410.92,
2019-02-01,411.36,
2019-03-01,411.65,
2019-04-01,411.88,
2019-05-01,411.58,
2019-06-01,410.54,
2019-07-01,408.82,
2019-08-01,407.95,
2019-09-01,408.61,
2019-10-01,410.23,
2019-11-01,411.82,
2019-12-01,412.8,
2020-01-01,413.57,
2020-02-01,413.87,
2020-03-01,414.26,
2020-04-01,414.44,
2020-05-01,414.03,
2020-06-01,412.85,
2020-07-01,411.23,
2020-08-01,410.41,
2020-09-01,411.09,
2020-10-01,412.75,
2020-11-01,414.43,
2020-12-01,415.49,
2021-01-01,416.06,
2021-02-01,416.54,
2021-03-01,416.86,
2021-04-01,416.94,
2021-05-01,416.65,
2021-06-01,415.48,
2021-07-01,413.83,
2021-08-01,412.79,
2021-09-01,413.48,
2021-10-01,415.16,
2021-11-01,416.83,
2021-12-01,417.92,
