Year,ERSSTv5 (degC),ERSSTv5 uncertainty
1850,-0.42,
1851,-0.36,
1852,-0.34,
1853,-0.36,
1854,-0.38,
1855,-0.36,
1856,-0.47,
1857,-0.52,
1858,-0.46,
1859,-0.35,
1860,-0.42,
1861,-0.50,
1862,-0.51,
1863,-0.43,
1864,-0.39,
1865,-0.32,
1866,-0.31,
1867,-0.39,
1868,-0.36,
1869,-0.36,
1870,-0.37,
1871,-0.36,
1872,-0.39,
1873,-0.43,
1874,-0.49,
1875,-0.38,
1876,-0.44,
1877,-0.13,
1878,-0.17,
1879,-0.33,
1880,-0.39,
1881,-0.32,
1882,-0.33,
1883,-0.40,
1884,-0.48,
1885,-0.53,
1886,-0.53,
1887,-0.56,
1888,-0.38,
1889,-0.37,
1890,-0.60,
1891,-0.45,
1892,-0.50,
1893,-0.55,
1894,-0.57,
1895,-0.46,
1896,-0.33,
1897,-0.37,
1898,-0.54,
1899,-0.47,
1900,-0.38,
1901,-0.49,
1902,-0.55,
1903,-0.70,
1904,-0.80,
1905,-0.58,
1906,-0.56,
1907,-0.63,
1908,-0.76,
1909,-0.80,
1910,-0.78,
1911,-0.76,
1912,-0.62,
1913,-0.67,
1914,-0.52,
1915,-0.45,
1916,-0.63,
1917,-0.69,
1918,-0.54,
1919,-0.57,
1920,-0.58,
1921,-0.55,
1922,-0.60,
1923,-0.60,
1924,-0.60,
1925,-0.57,
1926,-0.47,
1927,-0.53,
1928,-0.57,
1929,-0.63,
1930,-0.50,
1931,-0.46,
1932,-0.55,
1933,-0.59,
1934,-0.53,
1935,-0.54,
1936,-0.50,
1937,-0.40,
1938,-0.47,
1939,-0.41,
1940,-0.21,
1941,-0.09,
1942,-0.26,
1943,-0.29,
1944,-0.13,
1945,-0.15,
1946,-0.41,
1947,-0.43,
1948,-0.47,
1949,-0.44,
1950,-0.45,
1951,-0.37,
1952,-0.29,
1953,-0.31,
1954,-0.48,
1955,-0.49,
1956,-0.46,
1957,-0.27,
1958,-0.25,
1959,-0.30,
1960,-0.31,
1961,-0.29,
1962,-0.30,
1963,-0.29,
1964,-0.45,
1965,-0.40,
1966,-0.34,
1967,-0.37,
1968,-0.35,
1969,-0.18,
1970,-0.29,
1971,-0.42,
1972,-0.25,
1973,-0.22,
1974,-0.38,
1975,-0.38,
1976,-0.34,
1977,-0.16,
1978,-0.23,
1979,-0.09,
1980,-0.08,
1981,-0.11,
1982,-0.12,
1983,-0.05,
1984,-0.15,
1985,-0.18,
1986,-0.14,
1987,0.01,
1988,-0.03,
1989,-0.09,
1990,0.01,
1991,-0.03,
1992,-0.11,
1993,-0.10,
1994,-0.07,
1995,-0.02,
1996,-0.05,
1997,0.10,
1998,0.16,
1999,-0.06,
2000,-0.03,
2001,0.08,
2002,0.12,
2003,0.14,
2004,0.12,
2005,0.12,
2006,0.12,
2007,0.04,
2008,0.02,
2009,0.16,
2010,0.17,
2011,0.05,
2012,0.11,
2013,0.15,
2014,0.24,
2015,0.36,
2016,0.39,
2017,0.33,
2018,0.29,
2019,0.37,
2020,0.36,
2021,0.27,
2022,0.30,
2023,0.35,
